Algorithm,Size,Type,Time (ms)
insertion,1.000000,Random,0.000250
insertion,1.000000,Increasing,0.014000
insertion,1.000000,Decreasing,1.385400
insertion,10.000000,Random,0.000000
insertion,10.000000,Increasing,0.000000
insertion,10.000000,Decreasing,0.000050
insertion,100.000000,Random,0.000200
insertion,100.000000,Increasing,0.027200
insertion,100.000000,Decreasing,2.780150
merge,1.000000,Random,0.000100
merge,1.000000,Increasing,0.001000
merge,1.000000,Decreasing,0.012750
merge,10.000000,Random,0.000000
merge,10.000000,Increasing,0.000550
merge,10.000000,Decreasing,0.005150
merge,100.000000,Random,0.000050
merge,100.000000,Increasing,0.000450
merge,100.000000,Decreasing,0.004800
heap,1.000000,Random,0.000000
heap,1.000000,Increasing,0.000650
heap,1.000000,Decreasing,0.010600
heap,10.000000,Random,0.000050
heap,10.000000,Increasing,0.000650
heap,10.000000,Decreasing,0.006950
heap,100.000000,Random,0.000000
heap,100.000000,Increasing,0.000550
heap,100.000000,Decreasing,0.007000
quick,1.000000,Random,0.000100
quick,1.000000,Increasing,0.000700
quick,1.000000,Decreasing,0.008250
quick,10.000000,Random,0.000000
quick,10.000000,Increasing,0.000500
quick,10.000000,Decreasing,0.003800
quick,100.000000,Random,0.000150
quick,100.000000,Increasing,0.000350
quick,100.000000,Decreasing,0.004050
